BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,LOCATION_GROUP,Month,DayOfWeek,Hour,Part_of_Day,is_weekend,holiday_name,is_holiday,Season
QUEENS,Unknown,109,0,Unknown,SOCIAL CLUB/POLICY LOCATI,Unknown,Unknown,Unknown,25-44,M,BLACK,1031046.4375,218265.53125,Food_Nightlife,3,Thursday,21,Evening,0,Not Holiday,0,Spring
STATEN ISLAND,Unknown,120,2,Unknown,MULTI DWELL - PUBLIC HOUS,25-44,M,WHITE,25-44,M,WHITE HISPANIC,962020.0,165682.0,Residential,3,Wednesday,2,Night,0,Not Holiday,0,Spring
BRONX,Unknown,52,0,Unknown,MULTI DWELL - APT BUILD,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1013733.9375,254080.765625,Residential,2,Sunday,13,Afternoon,1,Not Holiday,0,Winter
QUEENS,Unknown,103,0,Unknown,Unknown,25-44,M,BLACK,25-44,M,BLACK,1036493.0,195332.0,Unknown,7,Wednesday,2,Night,0,Not Holiday,0,Summer
BRONX,Unknown,43,2,Unknown,MULTI DWELL - PUBLIC HOUS,18-24,M,BLACK,25-44,M,BLACK,1020636.75,237482.234375,Residential,8,Monday,22,Evening,0,Not Holiday,0,Summer
QUEENS,Unknown,103,0,Unknown,Unknown,18-24,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1038015.75,193576.125,Unknown,6,Saturday,3,Night,1,Not Holiday,0,Summer
BRONX,Unknown,50,0,Unknown,Unknown,Unknown,Unknown,Unknown,18-24,M,WHITE,1010353.4375,261534.28125,Unknown,5,Wednesday,21,Evening,0,Not Holiday,0,Spring
BRONX,OUTSIDE,40,0,HOUSING,MULTI DWELL - PUBLIC HOUS,18-24,M,BLACK,25-44,M,BLACK,1005919.0,236106.0,Residential,7,Monday,15,Afternoon,0,Not Holiday,0,Summer
BRONX,INSIDE,52,0,DWELLING,MULTI DWELL - APT BUILD,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1016542.0,257532.0,Residential,8,Sunday,1,Night,1,Not Holiday,0,Summer
BRONX,Unknown,44,0,Unknown,COMMERCIAL BLDG,Unknown,Unknown,Unknown,18-24,M,BLACK,1007188.1875,243232.9375,Commercial,11,Wednesday,23,Night,0,Not Holiday,0,Fall
QUEENS,Unknown,109,0,Unknown,Unknown,25-44,M,Unknown,18-24,M,BLACK,1031046.4375,218265.53125,Unknown,11,Saturday,16,Afternoon,1,Not Holiday,0,Fall
MANHATTAN,Unknown,23,0,Unknown,Unknown,25-44,M,BLACK,25-44,M,WHITE HISPANIC,999811.8125,225718.875,Unknown,6,Saturday,17,Evening,1,Not Holiday,0,Summer
BRONX,Unknown,47,0,Unknown,MULTI DWELL - APT BUILD,25-44,M,BLACK,25-44,M,BLACK,1020408.0625,257834.171875,Residential,10,Tuesday,2,Night,0,Not Holiday,0,Fall
BRONX,Unknown,42,0,Unknown,MULTI DWELL - PUBLIC HOUS,Unknown,Unknown,Unknown,<18,M,BLACK,1012334.6875,240636.90625,Residential,8,Sunday,22,Evening,1,Not Holiday,0,Summer
BRONX,Unknown,47,0,Unknown,Unknown,18-24,M,BLACK,18-24,M,BLACK,1020808.3125,262493.1875,Unknown,5,Thursday,22,Evening,0,Not Holiday,0,Spring
BROOKLYN,Unknown,63,0,Unknown,Unknown,Unknown,Unknown,Unknown,18-24,M,BLACK,1009834.0,156615.0,Unknown,9,Wednesday,2,Night,0,Not Holiday,0,Fall
BRONX,Unknown,49,0,Unknown,RESTAURANT/DINER,25-44,M,BLACK,25-44,M,BLACK,1029221.75,254779.59375,Food_Nightlife,5,Thursday,18,Evening,0,Not Holiday,0,Spring
BROOKLYN,Unknown,75,0,Unknown,Unknown,18-24,M,BLACK,18-24,M,ASIAN / PACIFIC ISLANDER,1017445.3125,184209.140625,Unknown,5,Sunday,12,Afternoon,1,Not Holiday,0,Spring
BRONX,INSIDE,52,0,DWELLING,MULTI DWELL - APT BUILD,25-44,M,BLACK HISPANIC,25-44,F,BLACK HISPANIC,1015796.0,257648.0,Residential,2,Saturday,5,Morning,1,Not Holiday,0,Winter
BRONX,OUTSIDE,45,0,STREET,Unknown,25-44,F,BLACK,18-24,M,BLACK,1025397.0,243783.0,Unknown,1,Sunday,3,Night,1,Not Holiday,0,Winter
QUEENS,Unknown,114,0,Unknown,Unknown,18-24,M,BLACK HISPANIC,18-24,M,BLACK HISPANIC,1011301.0,216333.0,Unknown,6,Saturday,3,Night,1,Not Holiday,0,Summer
BRONX,Unknown,41,0,Unknown,Unknown,Unknown,Unknown,Unknown,18-24,M,BLACK,1012075.4375,239260.9375,Unknown,11,Wednesday,19,Evening,0,Not Holiday,0,Fall
BROOKLYN,Unknown,75,2,Unknown,MULTI DWELL - PUBLIC HOUS,Unknown,Unknown,Unknown,25-44,M,BLACK,1019847.25,184424.015625,Residential,4,Tuesday,16,Afternoon,0,Not Holiday,0,Spring
MANHATTAN,INSIDE,14,0,COMMERCIAL,VIDEO STORE,25-44,M,BLACK,18-24,M,BLACK,986050.0,214231.0,Commercial,5,Thursday,0,Night,0,Not Holiday,0,Spring
BROOKLYN,Unknown,79,0,Unknown,MULTI DWELL - APT BUILD,25-44,M,BLACK,25-44,M,BLACK,996239.1875,189437.109375,Residential,10,Tuesday,21,Evening,0,Not Holiday,0,Fall
BRONX,Unknown,42,2,Unknown,MULTI DWELL - PUBLIC HOUS,18-24,M,BLACK,18-24,M,WHITE HISPANIC,1010169.0,244576.921875,Residential,9,Thursday,0,Night,0,Not Holiday,0,Fall
BROOKLYN,Unknown,77,0,Unknown,MULTI DWELL - APT BUILD,Unknown,Unknown,Unknown,18-24,M,BLACK,1005418.0,184431.0,Residential,9,Thursday,19,Evening,0,Not Holiday,0,Fall
BROOKLYN,Unknown,69,0,Unknown,Unknown,Unknown,Unknown,Unknown,18-24,M,BLACK,1012059.0,174001.0,Unknown,8,Monday,22,Evening,0,Not Holiday,0,Summer
BROOKLYN,Unknown,81,2,Unknown,MULTI DWELL - PUBLIC HOUS,Unknown,Unknown,Unknown,18-24,M,BLACK,1002822.875,189890.875,Residential,5,Wednesday,19,Evening,0,Not Holiday,0,Spring
MANHATTAN,Unknown,28,0,Unknown,Unknown,Unknown,M,BLACK,18-24,M,BLACK,997376.0,233927.0,Unknown,6,Saturday,23,Night,1,Not Holiday,0,Summer
BROOKLYN,Unknown,72,0,Unknown,PVT HOUSE,18-24,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,982699.375,176587.53125,Residential,9,Sunday,4,Night,1,Not Holiday,0,Fall
BRONX,Unknown,44,0,Unknown,MULTI DWELL - APT BUILD,45-64,M,BLACK,45-64,F,BLACK,1005390.75,245671.03125,Residential,12,Wednesday,6,Morning,0,Not Holiday,0,Winter
BROOKLYN,OUTSIDE,79,0,COMMERCIAL,BAR/NIGHT CLUB,45-64,M,BLACK,45-64,M,BLACK,999832.0,188070.0,Food_Nightlife,6,Thursday,1,Night,0,Not Holiday,0,Summer
STATEN ISLAND,Unknown,120,0,Unknown,GROCERY/BODEGA,Unknown,Unknown,Unknown,18-24,M,BLACK,961471.8125,164726.71875,Food_Nightlife,9,Sunday,11,Morning,1,Not Holiday,0,Fall
MANHATTAN,OUTSIDE,25,0,STREET,Unknown,Unknown,Unknown,Unknown,18-24,M,WHITE HISPANIC,1001575.0,232339.0,Unknown,3,Saturday,0,Night,1,Not Holiday,0,Spring
BROOKLYN,Unknown,83,0,Unknown,Unknown,Unknown,Unknown,Unknown,18-24,M,BLACK,1007127.6875,193705.171875,Unknown,9,Tuesday,21,Evening,0,Not Holiday,0,Fall
BROOKLYN,OUTSIDE,71,0,OTHER,HOSPITAL,Unknown,Unknown,Unknown,25-44,F,WHITE HISPANIC,999439.0,178174.0,Public_Place,7,Saturday,3,Night,1,Not Holiday,0,Summer
BROOKLYN,Unknown,67,0,Unknown,Unknown,Unknown,Unknown,Unknown,25-44,M,BLACK,1003719.625,178297.6875,Unknown,1,Sunday,17,Evening,1,Not Holiday,0,Winter
BROOKLYN,Unknown,90,2,Unknown,MULTI DWELL - PUBLIC HOUS,25-44,M,BLACK,18-24,M,BLACK,1001079.3125,195775.734375,Residential,9,Thursday,3,Night,0,Not Holiday,0,Fall
MANHATTAN,Unknown,32,0,Unknown,Unknown,25-44,M,BLACK,25-44,M,BLACK,999969.5,235628.078125,Unknown,8,Sunday,10,Morning,1,Not Holiday,0,Summer
BRONX,Unknown,47,0,Unknown,Unknown,Unknown,Unknown,Unknown,25-44,M,BLACK,1024586.125,259613.25,Unknown,2,Thursday,15,Afternoon,0,Not Holiday,0,Winter
BROOKLYN,OUTSIDE,73,0,STREET,Unknown,Unknown,Unknown,Unknown,45-64,M,BLACK,1006463.0,181820.0,Unknown,7,Tuesday,21,Evening,0,Not Holiday,0,Summer
BROOKLYN,Unknown,71,0,Unknown,Unknown,Unknown,Unknown,Unknown,25-44,M,BLACK,997496.25,180560.546875,Unknown,12,Sunday,5,Morning,1,Not Holiday,0,Winter
BRONX,Unknown,49,0,Unknown,Unknown,25-44,M,BLACK,45-64,M,BLACK,1027421.25,256008.828125,Unknown,9,Monday,23,Night,0,Not Holiday,0,Fall
MANHATTAN,OUTSIDE,23,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Unknown,Unknown,Unknown,25-44,M,BLACK,997937.0,227357.0,Residential,1,Friday,22,Evening,1,Not Holiday,0,Winter
BROOKLYN,Unknown,71,0,Unknown,Unknown,18-24,M,BLACK,25-44,M,BLACK,997503.0,182054.0,Unknown,8,Thursday,1,Night,0,Not Holiday,0,Summer
MANHATTAN,OUTSIDE,34,0,STREET,Unknown,25-44,M,ASIAN / PACIFIC ISLANDER,25-44,M,BLACK HISPANIC,1003257.0,255828.0,Unknown,7,Monday,21,Evening,0,Not Holiday,0,Summer
BROOKLYN,Unknown,81,0,Unknown,Unknown,18-24,M,BLACK,25-44,M,BLACK,1005863.4375,189395.375,Unknown,1,Monday,15,Afternoon,0,Not Holiday,0,Winter
QUEENS,Unknown,113,0,Unknown,Unknown,Unknown,Unknown,Unknown,25-44,M,BLACK,1048601.875,193342.71875,Unknown,8,Monday,23,Night,0,Not Holiday,0,Summer
BRONX,Unknown,47,2,Unknown,MULTI DWELL - PUBLIC HOUS,Unknown,Unknown,Unknown,18-24,M,BLACK,1030385.75,260908.46875,Residential,10,Friday,22,Evening,1,Not Holiday,0,Fall
BROOKLYN,Unknown,73,0,Unknown,Unknown,25-44,M,BLACK,25-44,M,BLACK,1008276.0,183623.0,Unknown,8,Thursday,4,Night,0,Not Holiday,0,Summer
MANHATTAN,Unknown,32,2,Unknown,MULTI DWELL - PUBLIC HOUS,Unknown,Unknown,Unknown,18-24,M,BLACK,998362.25,234740.5,Residential,8,Wednesday,22,Evening,0,Not Holiday,0,Summer
BROOKLYN,Unknown,61,2,Unknown,MULTI DWELL - PUBLIC HOUS,Unknown,Unknown,Unknown,25-44,M,BLACK,1000565.5,156826.109375,Residential,5,Tuesday,17,Evening,0,Not Holiday,0,Spring
BRONX,Unknown,44,0,Unknown,Unknown,Unknown,Unknown,Unknown,18-24,M,WHITE HISPANIC,1007847.1875,245235.578125,Unknown,8,Tuesday,22,Evening,0,Not Holiday,0,Summer
MANHATTAN,INSIDE,23,2,HOUSING,MULTI DWELL - PUBLIC HOUS,25-44,M,BLACK,25-44,F,WHITE HISPANIC,1000121.0,229191.0,Residential,4,Saturday,6,Morning,1,Not Holiday,0,Spring
BRONX,Unknown,47,0,Unknown,Unknown,Unknown,Unknown,Unknown,25-44,M,BLACK,1024645.6875,258159.21875,Unknown,11,Sunday,7,Morning,1,Not Holiday,0,Fall
MANHATTAN,OUTSIDE,23,0,STREET,Unknown,18-24,M,BLACK,25-44,M,BLACK,998958.0,227092.0,Unknown,10,Saturday,21,Evening,1,Not Holiday,0,Fall
BROOKLYN,OUTSIDE,90,2,HOUSING,MULTI DWELL - PUBLIC HOUS,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1000956.0,195764.0,Residential,7,Monday,18,Evening,0,Not Holiday,0,Summer
BRONX,Unknown,42,0,Unknown,Unknown,Unknown,Unknown,Unknown,18-24,M,BLACK,1012859.5,244801.09375,Unknown,6,Friday,1,Night,1,Not Holiday,0,Summer
BROOKLYN,Unknown,63,0,Unknown,Unknown,Unknown,Unknown,Unknown,25-44,M,BLACK,999751.0,168628.0,Unknown,5,Saturday,23,Night,1,Not Holiday,0,Spring
BROOKLYN,Unknown,69,0,Unknown,Unknown,Unknown,Unknown,Unknown,18-24,M,BLACK,1013608.0,169140.0,Unknown,7,Saturday,1,Night,1,Not Holiday,0,Summer
BROOKLYN,Unknown,73,2,Unknown,MULTI DWELL - PUBLIC HOUS,Unknown,Unknown,Unknown,45-64,F,BLACK,1006025.5625,185468.890625,Residential,3,Tuesday,8,Morning,0,Not Holiday,0,Spring
BROOKLYN,Unknown,69,0,Unknown,PVT HOUSE,Unknown,Unknown,Unknown,<18,M,BLACK,1008697.25,171612.546875,Residential,8,Wednesday,20,Evening,0,Not Holiday,0,Summer
BROOKLYN,Unknown,75,0,Unknown,Unknown,18-24,M,BLACK,25-44,M,BLACK,1014766.0,183922.0,Unknown,10,Monday,21,Evening,0,Columbus Day,1,Fall
BROOKLYN,Unknown,73,0,Unknown,Unknown,45-64,M,BLACK,18-24,M,BLACK,1008716.75,179936.265625,Unknown,7,Monday,1,Night,0,Not Holiday,0,Summer
BRONX,Unknown,44,0,Unknown,MULTI DWELL - APT BUILD,25-44,M,WHITE HISPANIC,25-44,F,WHITE,1004569.0625,243310.953125,Residential,1,Saturday,23,Night,1,Not Holiday,0,Winter
BROOKLYN,Unknown,67,0,Unknown,MULTI DWELL - APT BUILD,Unknown,Unknown,Unknown,25-44,M,BLACK,1000272.5625,172937.046875,Residential,11,Saturday,6,Morning,1,Not Holiday,0,Fall
MANHATTAN,Unknown,30,0,Unknown,Unknown,Unknown,Unknown,Unknown,45-64,M,BLACK,1000302.0,240881.0,Unknown,10,Thursday,21,Evening,0,Not Holiday,0,Fall
QUEENS,Unknown,103,0,Unknown,Unknown,Unknown,Unknown,Unknown,25-44,M,BLACK,1043269.0,198215.0,Unknown,4,Saturday,23,Night,1,Not Holiday,0,Spring
BROOKLYN,Unknown,75,0,Unknown,Unknown,18-24,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,1014131.0,180549.0,Unknown,8,Thursday,21,Evening,0,Not Holiday,0,Summer
BROOKLYN,Unknown,67,0,Unknown,Unknown,Unknown,Unknown,Unknown,25-44,M,BLACK,1003856.125,171515.546875,Unknown,10,Saturday,4,Night,1,Not Holiday,0,Fall
BRONX,Unknown,42,2,Unknown,MULTI DWELL - PUBLIC HOUS,18-24,M,BLACK,18-24,M,BLACK,1012422.0,240916.0,Residential,11,Monday,15,Afternoon,0,Not Holiday,0,Fall
BRONX,Unknown,42,2,Unknown,MULTI DWELL - PUBLIC HOUS,Unknown,Unknown,Unknown,25-44,M,BLACK,1010896.25,244230.640625,Residential,10,Thursday,21,Evening,0,Not Holiday,0,Fall
BROOKLYN,Unknown,67,0,Unknown,Unknown,Unknown,Unknown,Unknown,25-44,M,BLACK,1006159.6875,180446.515625,Unknown,4,Sunday,3,Night,1,Not Holiday,0,Spring
MANHATTAN,Unknown,28,0,Unknown,GROCERY/BODEGA,Unknown,Unknown,Unknown,25-44,M,WHITE HISPANIC,998391.125,229755.953125,Food_Nightlife,11,Thursday,23,Night,0,Not Holiday,0,Fall
BRONX,Unknown,44,0,Unknown,SHOE STORE,<18,M,BLACK,25-44,M,BLACK,1007188.1875,243232.9375,Commercial,9,Tuesday,19,Evening,0,Not Holiday,0,Fall
BROOKLYN,Unknown,77,0,Unknown,Unknown,Unknown,Unknown,Unknown,18-24,M,BLACK,1004579.75,183837.671875,Unknown,5,Friday,17,Evening,1,Not Holiday,0,Spring
BROOKLYN,Unknown,60,0,Unknown,COMMERCIAL BLDG,Unknown,Unknown,Unknown,45-64,M,WHITE,991878.4375,153414.125,Commercial,7,Friday,14,Afternoon,1,Not Holiday,0,Summer
MANHATTAN,Unknown,9,0,Unknown,MULTI DWELL - PUBLIC HOUS,18-24,M,BLACK,18-24,M,WHITE HISPANIC,991224.5625,202118.359375,Residential,1,Wednesday,22,Evening,0,Not Holiday,0,Winter
BRONX,Unknown,40,2,Unknown,MULTI DWELL - PUBLIC HOUS,Unknown,M,Unknown,18-24,M,BLACK,1006104.3125,238458.96875,Residential,10,Friday,22,Evening,1,Not Holiday,0,Fall
BROOKLYN,Unknown,81,2,Unknown,MULTI DWELL - PUBLIC HOUS,Unknown,Unknown,Unknown,18-24,F,BLACK,1001469.0,191733.0,Residential,8,Monday,0,Night,0,Not Holiday,0,Summer
BROOKLYN,OUTSIDE,75,0,STREET,Unknown,Unknown,Unknown,Unknown,25-44,M,BLACK HISPANIC,1017441.0,184924.0,Unknown,10,Thursday,22,Evening,0,Not Holiday,0,Fall
BROOKLYN,OUTSIDE,67,0,STREET,Unknown,25-44,M,BLACK,18-24,M,BLACK,1005918.0,177340.0,Unknown,7,Thursday,23,Night,0,Not Holiday,0,Summer
MANHATTAN,Unknown,28,0,Unknown,Unknown,Unknown,Unknown,Unknown,25-44,M,BLACK,998053.75,232172.28125,Unknown,7,Saturday,0,Night,1,Not Holiday,0,Summer
QUEENS,Unknown,103,0,Unknown,Unknown,25-44,M,BLACK,25-44,M,BLACK,1041717.0,197008.0,Unknown,9,Friday,19,Evening,1,Not Holiday,0,Fall
BRONX,Unknown,43,0,Unknown,Unknown,18-24,M,BLACK,<18,M,BLACK,1020219.0,239110.0,Unknown,4,Friday,23,Night,1,Not Holiday,0,Spring
MANHATTAN,Unknown,26,0,Unknown,MULTI DWELL - APT BUILD,18-24,M,BLACK,25-44,M,BLACK HISPANIC,997306.3125,234541.984375,Residential,3,Wednesday,1,Night,0,Not Holiday,0,Spring
QUEENS,Unknown,110,0,Unknown,Unknown,Unknown,Unknown,Unknown,25-44,M,BLACK,1021926.0,207874.0,Unknown,12,Wednesday,20,Evening,0,Not Holiday,0,Winter
QUEENS,Unknown,103,0,Unknown,Unknown,25-44,M,BLACK,25-44,M,BLACK,1044619.0,193754.0,Unknown,5,Saturday,8,Morning,1,Not Holiday,0,Spring
MANHATTAN,Unknown,25,0,Unknown,MULTI DWELL - APT BUILD,18-24,M,BLACK,25-44,M,BLACK,1001398.875,233647.59375,Residential,8,Tuesday,19,Evening,0,Not Holiday,0,Summer
QUEENS,Unknown,101,0,Unknown,PVT HOUSE,Unknown,Unknown,Unknown,25-44,M,WHITE,1051369.25,160125.8125,Residential,12,Saturday,17,Evening,1,Not Holiday,0,Winter
BROOKLYN,Unknown,73,2,Unknown,MULTI DWELL - PUBLIC HOUS,Unknown,M,Unknown,25-44,M,BLACK,1009450.25,182401.0625,Residential,2,Saturday,3,Night,1,Not Holiday,0,Winter
MANHATTAN,Unknown,9,2,Unknown,MULTI DWELL - PUBLIC HOUS,Unknown,Unknown,Unknown,25-44,M,BLACK HISPANIC,991229.5625,201632.96875,Residential,12,Tuesday,21,Evening,0,Not Holiday,0,Winter
BROOKLYN,Unknown,67,0,Unknown,Unknown,Unknown,Unknown,Unknown,18-24,M,BLACK,1007579.3125,177834.015625,Unknown,6,Sunday,18,Evening,1,Not Holiday,0,Summer
BRONX,Unknown,48,0,Unknown,Unknown,Unknown,Unknown,Unknown,45-64,M,BLACK,1017180.0,245297.0,Unknown,9,Friday,1,Night,1,Not Holiday,0,Fall
BROOKLYN,Unknown,75,0,Unknown,MULTI DWELL - APT BUILD,18-24,M,BLACK,18-24,M,BLACK,1016124.625,182264.59375,Residential,5,Saturday,16,Afternoon,1,Not Holiday,0,Spring
BROOKLYN,Unknown,79,0,Unknown,Unknown,Unknown,Unknown,Unknown,<18,M,Unknown,999634.0,190253.0,Unknown,9,Monday,19,Evening,0,Labor Day,1,Fall
QUEENS,Unknown,115,0,Unknown,BAR/NIGHT CLUB,25-44,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,1017425.25,214766.234375,Food_Nightlife,8,Tuesday,3,Night,0,Not Holiday,0,Summer
BROOKLYN,Unknown,67,0,Unknown,GROCERY/BODEGA,Unknown,Unknown,Unknown,25-44,M,BLACK,1006332.4375,175813.484375,Food_Nightlife,12,Sunday,16,Afternoon,1,Not Holiday,0,Winter
QUEENS,Unknown,112,0,Unknown,PVT HOUSE,25-44,M,WHITE,45-64,M,WHITE,1026984.75,198753.046875,Residential,6,Thursday,15,Afternoon,0,Not Holiday,0,Summer
BRONX,Unknown,40,1,Unknown,Unknown,18-24,M,BLACK,<18,M,BLACK,1007921.0,232776.0,Unknown,10,Sunday,2,Night,1,Not Holiday,0,Fall
BROOKLYN,Unknown,73,0,Unknown,BAR/NIGHT CLUB,25-44,M,BLACK,25-44,M,BLACK,1008845.3125,182763.765625,Food_Nightlife,12,Saturday,4,Night,1,Not Holiday,0,Winter
BRONX,OUTSIDE,42,0,STREET,Unknown,25-44,M,BLACK,25-44,M,BLACK,1009460.0,239394.0,Unknown,8,Friday,4,Night,1,Not Holiday,0,Summer
BRONX,Unknown,47,0,Unknown,Unknown,<18,M,BLACK,18-24,M,BLACK,1026053.0,261714.0,Unknown,10,Sunday,19,Evening,1,Not Holiday,0,Fall
BRONX,Unknown,42,2,Unknown,MULTI DWELL - PUBLIC HOUS,Unknown,Unknown,Unknown,25-44,M,WHITE HISPANIC,1009945.0,244103.0,Residential,6,Sunday,19,Evening,1,Not Holiday,0,Summer
BROOKLYN,Unknown,67,0,Unknown,PVT HOUSE,65+,M,BLACK,45-64,F,BLACK,997173.75,173104.1875,Residential,2,Tuesday,9,Morning,0,Not Holiday,0,Winter
MANHATTAN,Unknown,28,0,Unknown,MULTI DWELL - APT BUILD,Unknown,Unknown,Unknown,25-44,M,BLACK HISPANIC,997481.875,232489.140625,Residential,4,Wednesday,23,Night,0,Not Holiday,0,Spring
QUEENS,Unknown,113,0,Unknown,Unknown,Unknown,M,BLACK,25-44,M,BLACK,1048367.9375,187632.046875,Unknown,6,Wednesday,1,Night,0,Not Holiday,0,Summer
BROOKLYN,Unknown,60,2,Unknown,MULTI DWELL - PUBLIC HOUS,25-44,M,BLACK,18-24,M,WHITE HISPANIC,984147.3125,150277.703125,Residential,3,Friday,16,Afternoon,1,Not Holiday,0,Spring
BRONX,OUTSIDE,42,0,STREET,Unknown,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1016885.0,243883.0,Unknown,6,Sunday,21,Evening,1,Not Holiday,0,Summer
BRONX,Unknown,42,2,Unknown,MULTI DWELL - PUBLIC HOUS,<18,M,BLACK,<18,M,BLACK HISPANIC,1010688.0625,239926.953125,Residential,4,Sunday,4,Night,1,Not Holiday,0,Spring
QUEENS,OUTSIDE,107,0,STREET,Unknown,18-24,M,BLACK,18-24,M,BLACK,1043851.0,207917.0,Unknown,4,Wednesday,16,Afternoon,0,Not Holiday,0,Spring
BRONX,Unknown,47,0,Unknown,Unknown,Unknown,Unknown,Unknown,18-24,M,BLACK,1026142.1875,269204.84375,Unknown,10,Monday,19,Evening,0,Columbus Day,1,Fall
MANHATTAN,Unknown,9,0,Unknown,Unknown,25-44,M,WHITE HISPANIC,45-64,M,BLACK,990439.9375,202897.0625,Unknown,7,Thursday,8,Morning,0,Not Holiday,0,Summer
MANHATTAN,Unknown,5,0,Unknown,Unknown,<18,M,ASIAN / PACIFIC ISLANDER,25-44,M,ASIAN / PACIFIC ISLANDER,984984.1875,200115.9375,Unknown,2,Saturday,19,Evening,1,Not Holiday,0,Winter
BRONX,Unknown,42,0,Unknown,Unknown,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1008798.0,238971.0,Unknown,8,Sunday,21,Evening,1,Not Holiday,0,Summer
BRONX,Unknown,41,0,Unknown,MULTI DWELL - APT BUILD,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1012550.8125,236625.84375,Residential,7,Saturday,4,Night,1,Not Holiday,0,Summer
STATEN ISLAND,Unknown,121,2,Unknown,MULTI DWELL - PUBLIC HOUS,45-64,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,938890.5,170111.75,Residential,3,Thursday,18,Evening,0,Not Holiday,0,Spring
QUEENS,Unknown,103,0,Unknown,BAR/NIGHT CLUB,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1036944.6875,194475.453125,Food_Nightlife,12,Thursday,23,Night,0,Not Holiday,0,Winter
QUEENS,OUTSIDE,115,0,STREET,Unknown,<18,M,BLACK HISPANIC,<18,M,WHITE HISPANIC,1020563.0,212261.0,Unknown,8,Friday,14,Afternoon,1,Not Holiday,0,Summer
BROOKLYN,Unknown,71,0,Unknown,Unknown,18-24,M,BLACK,18-24,M,BLACK,997597.0625,183356.484375,Unknown,9,Monday,17,Evening,0,Labor Day,1,Fall
QUEENS,Unknown,102,0,Unknown,Unknown,Unknown,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1022215.0,187520.0,Unknown,10,Sunday,2,Night,1,Not Holiday,0,Fall
BROOKLYN,Unknown,67,0,Unknown,MULTI DWELL - APT BUILD,Unknown,Unknown,Unknown,18-24,M,BLACK,999445.875,171582.421875,Residential,9,Saturday,22,Evening,1,Not Holiday,0,Fall
BROOKLYN,Unknown,75,0,Unknown,Unknown,25-44,M,BLACK HISPANIC,25-44,M,BLACK,1012522.9375,180392.421875,Unknown,10,Saturday,12,Afternoon,1,Not Holiday,0,Fall
BROOKLYN,Unknown,75,0,Unknown,Unknown,<18,M,BLACK,<18,M,BLACK,1014175.0,181585.0,Unknown,7,Saturday,21,Evening,1,Not Holiday,0,Summer
