iter	Passed	Remaining
0	57	57197
1	115	57712
2	174	58131
3	232	58004
4	293	58366
5	338	56024
6	374	53154
7	436	54118
8	490	54052
9	541	53646
10	624	56107
11	678	55830
12	736	55930
13	801	56454
14	857	56309
15	916	56342
16	951	55016
17	1020	55694
18	1082	55912
19	1137	55754
20	1152	53731
21	1208	53705
22	1269	53923
23	1317	53570
24	1373	53553
25	1425	53386
26	1462	52693
27	1497	51983
28	1554	52037
29	1608	52016
30	1668	52158
31	1724	52165
32	1783	52267
33	1811	51455
34	1871	51586
35	1930	51685
36	1989	51774
37	2051	51941
38	2112	52053
39	2166	51997
40	2226	52086
41	2269	51756
42	2322	51699
43	2379	51692
44	2433	51647
45	2536	52614
46	2604	52815
47	2666	52876
48	2727	52938
49	2789	52993
50	2850	53047
51	2906	52985
52	2968	53042
53	3035	53173
54	3098	53232
55	3117	52555
56	3199	52925
57	3258	52924
58	3319	52947
59	3379	52951
60	3438	52924
61	3493	52859
62	3551	52825
63	3615	52877
64	3678	52920
65	3736	52870
66	3797	52881
67	3859	52903
68	3921	52908
69	3973	52792
70	4036	52817
71	4101	52867
72	4166	52914
73	4220	52808
74	4283	52827
75	4347	52861
76	4405	52813
77	4464	52768
78	4525	52760
79	4588	52768
80	4629	52522
81	4686	52471
82	4748	52463
83	4813	52487
84	4873	52464
85	4932	52422
86	4995	52427
87	5059	52432
88	5122	52433
89	5181	52386
90	5231	52257
91	5296	52271
92	5356	52236
93	5418	52224
94	5456	51977
95	5504	51831
96	5565	51814
97	5628	51807
98	5694	51827
99	5760	51842
100	5840	51985
101	5900	51947
102	5960	51910
103	6020	51865
104	6082	51842
105	6096	51418
106	6159	51410
107	6224	51409
108	6284	51375
109	6352	51396
110	6416	51392
111	6447	51116
112	6509	51097
113	6548	50892
114	6614	50903
115	6679	50900
116	6737	50851
117	6795	50796
118	6852	50733
119	6916	50721
120	6958	50549
121	7019	50520
122	7083	50504
123	7152	50529
124	7215	50510
125	7257	50345
126	7321	50331
127	7382	50293
128	7434	50199
129	7499	50187
130	7560	50152
131	7627	50159
132	7691	50141
133	7753	50106
134	7813	50064
135	7875	50031
136	7934	49983
137	7996	49949
138	8057	49910
139	8090	49698
140	8158	49702
141	8219	49662
142	8283	49641
143	8345	49612
144	8407	49573
145	8469	49538
146	8529	49496
147	8543	49181
148	8601	49124
149	8667	49113
150	8729	49081
151	8794	49061
152	8858	49042
153	8909	48945
154	8973	48917
155	9033	48874
156	9096	48845
157	9159	48811
158	9231	48827
159	9300	48826
160	9364	48799
161	9430	48784
162	9496	48765
163	9562	48744
164	9626	48716
165	9687	48671
166	9755	48662
167	9820	48632
168	9882	48592
169	9946	48564
170	10009	48525
171	10069	48474
172	10136	48458
173	10198	48411
174	10265	48394
175	10327	48350
176	10391	48316
177	10448	48251
178	10513	48218
179	10573	48167
180	10611	48016
181	10673	47973
182	10713	47828
183	10782	47817
184	10814	47643
185	10872	47580
186	10930	47522
187	10993	47484
188	11061	47463
189	11127	47438
190	11195	47418
191	11292	47523
192	11359	47497
193	11426	47471
194	11492	47441
195	11554	47397
196	11620	47366
197	11683	47326
198	11750	47299
199	11818	47274
200	11878	47217
201	11944	47185
202	12010	47154
203	12075	47118
204	12140	47082
205	12207	47052
206	12274	47022
207	12341	46992
208	12410	46970
209	12476	46935
210	12542	46901
211	12606	46858
212	12672	46821
213	12738	46788
214	12807	46762
215	12876	46735
216	12966	46787
217	13074	46898
218	13164	46948
219	13259	47011
220	13346	47045
221	13416	47019
222	13488	46996
223	13554	46954
224	13617	46905
225	13681	46854
226	13746	46809
227	13816	46782
228	13883	46741
229	13950	46703
230	14016	46660
231	14090	46644
232	14156	46600
233	14224	46565
234	14293	46531
235	14368	46515
236	14435	46474
237	14498	46420
238	14570	46395
239	14637	46351
240	14705	46314
241	14771	46268
242	14842	46237
243	14908	46192
244	14977	46154
245	15046	46116
246	15112	46070
247	15181	46033
248	15248	45989
249	15322	45968
250	15388	45919
251	15459	45886
252	15528	45849
253	15594	45800
254	15661	45755
255	15731	45718
256	15807	45699
257	15894	45712
258	15961	45665
259	16025	45611
260	16095	45571
261	16161	45522
262	16226	45470
263	16296	45433
264	16372	45409
265	16454	45404
266	16531	45383
267	16596	45330
268	16664	45285
269	16729	45232
270	16801	45195
271	16868	45147
272	16934	45097
273	17003	45053
274	17075	45018
275	17146	44978
276	17211	44923
277	17279	44875
278	17345	44825
279	17419	44791
280	17489	44750
281	17562	44715
282	17630	44667
283	17701	44627
284	17773	44588
285	17841	44542
286	17911	44497
287	17979	44450
288	18046	44397
289	18113	44346
290	18180	44295
291	18240	44225
292	18311	44184
293	18384	44147
294	18455	44104
295	18511	44026
296	18580	43980
297	18637	43905
298	18708	43860
299	18774	43808
300	18843	43760
301	18912	43712
302	18978	43655
303	19043	43598
304	19113	43554
305	19175	43488
306	19241	43435
307	19313	43391
308	19383	43347
309	19444	43279
310	19517	43238
311	19585	43188
312	19654	43139
313	19724	43092
314	19791	43037
315	19864	42996
316	19926	42933
317	20008	42910
318	20077	42862
319	20147	42814
320	20219	42769
321	20292	42726
322	20360	42676
323	20429	42623
324	20506	42589
325	20578	42545
326	20645	42490
327	20716	42443
328	20790	42401
329	20855	42343
330	20924	42291
331	21000	42254
332	21069	42202
333	21139	42151
334	21210	42104
335	21286	42066
336	21360	42024
337	21430	41972
338	21497	41916
339	21568	41868
340	21641	41823
341	21705	41760
342	21776	41710
343	21845	41659
344	21915	41608
345	21989	41563
346	22057	41508
347	22127	41457
348	22196	41403
349	22264	41348
350	22361	41346
351	22427	41286
352	22500	41240
353	22576	41199
354	22646	41147
355	22718	41097
356	22790	41048
357	22862	40999
358	22931	40944
359	23003	40894
360	23071	40838
361	23139	40781
362	23208	40726
363	23282	40681
364	23357	40635
365	23431	40589
366	23505	40543
367	23577	40491
368	23652	40446
369	23723	40393
370	23794	40341
371	23867	40292
372	23937	40238
373	24006	40182
374	24078	40130
375	24148	40076
376	24215	40016
377	24285	39962
378	24356	39908
379	24422	39847
380	24496	39798
381	24566	39743
382	24642	39698
383	24712	39643
384	24786	39594
385	24856	39539
386	24926	39482
387	24994	39424
388	25057	39358
389	25125	39299
390	25194	39241
391	25263	39184
392	25333	39128
393	25406	39076
394	25472	39014
395	25540	38955
396	25610	38899
397	25687	38854
398	25760	38801
399	25837	38755
400	25906	38698
401	25978	38644
402	26050	38590
403	26111	38521
404	26182	38465
405	26250	38405
406	26323	38352
407	26392	38294
408	26458	38232
409	26530	38178
410	26603	38124
411	26675	38070
412	26745	38013
413	26816	37958
414	26887	37901
415	26958	37845
416	27034	37796
417	27104	37738
418	27174	37680
419	27249	37630
420	27321	37574
421	27388	37513
422	27461	37459
423	27532	37403
424	27601	37342
425	27675	37289
426	27755	37246
427	27827	37190
428	27897	37131
429	27965	37070
430	28037	37014
431	28107	36956
432	28174	36893
433	28243	36833
434	28312	36774
435	28386	36719
436	28457	36662
437	28531	36609
438	28602	36550
439	28668	36487
440	28740	36430
441	28817	36380
442	28888	36322
443	28959	36264
444	29026	36201
445	29097	36143
446	29173	36091
447	29241	36029
448	29316	35976
449	29392	35924
450	29464	35867
451	29535	35808
452	29607	35750
453	29678	35692
454	29752	35637
455	29835	35593
456	29908	35536
457	29979	35477
458	30053	35421
459	30122	35361
460	30198	35307
461	30270	35250
462	30342	35191
463	30416	35135
464	30487	35077
465	30554	35012
466	30629	34958
467	30702	34900
468	30774	34843
469	30853	34791
470	30925	34733
471	31002	34680
472	31075	34623
473	31141	34557
474	31234	34522
475	31304	34461
476	31378	34404
477	31449	34344
478	31522	34286
479	31593	34226
480	31666	34168
481	31737	34108
482	31808	34047
483	31896	34005
484	31965	33943
485	32032	33878
486	32109	33823
487	32177	33759
488	32253	33704
489	32326	33646
490	32402	33590
491	32474	33530
492	32552	33476
493	32625	33417
494	32697	33357
495	32772	33300
496	32851	33247
497	32929	33194
498	33004	33136
499	33081	33081
500	33154	33021
501	33226	32961
502	33372	32974
503	33445	32914
504	33520	32857
505	33592	32795
506	33665	32735
507	33741	32679
508	33818	32622
509	33892	32563
510	33968	32506
511	34035	32440
512	34107	32378
513	34179	32317
514	34255	32260
515	34328	32199
516	34404	32141
517	34479	32083
518	34549	32020
519	34625	31962
520	34696	31899
521	34765	31835
522	34841	31777
523	34921	31722
524	34998	31665
525	35068	31601
526	35139	31539
527	35213	31478
528	35293	31423
529	35369	31365
530	35444	31306
531	35523	31249
532	35598	31190
533	35672	31130
534	35748	31070
535	35827	31014
536	35898	30951
537	35977	30895
538	36043	30827
539	36118	30767
540	36192	30706
541	36269	30648
542	36348	30591
543	36419	30528
544	36496	30469
545	36568	30406
546	36646	30348
547	36720	30287
548	36798	30229
549	36872	30168
550	36942	30103
551	37021	30046
552	37099	29987
553	37171	29925
554	37245	29863
555	37323	29805
556	37400	29745
557	37475	29684
558	37551	29624
559	37620	29559
560	37696	29498
561	37773	29438
562	37854	29382
563	37929	29321
564	38015	29268
565	38090	29207
566	38163	29144
567	38242	29085
568	38318	29024
569	38389	28960
570	38464	28898
571	38539	28837
572	38619	28779
573	38692	28715
574	38767	28653
575	38849	28597
576	38920	28532
577	38990	28466
578	39070	28408
579	39151	28350
580	39230	28291
581	39310	28233
582	39385	28171
583	39463	28110
584	39540	28049
585	39615	27987
586	39689	27924
587	39763	27861
588	39836	27797
589	39915	27737
590	40004	27685
591	40083	27625
592	40155	27560
593	40233	27499
594	40316	27442
595	40392	27380
596	40468	27318
597	40544	27255
598	40618	27192
599	40695	27130
600	40769	27066
601	40846	27004
602	40923	26942
603	40997	26878
604	41078	26820
605	41155	26758
606	41231	26695
607	41309	26633
608	41386	26571
609	41466	26511
610	41545	26450
611	41618	26385
612	41689	26319
613	41771	26259
614	41845	26196
615	41922	26133
616	42000	26071
617	42077	26009
618	42154	25946
619	42234	25885
620	42310	25822
621	42386	25758
622	42461	25694
623	42542	25634
624	42618	25571
625	42693	25506
626	42765	25440
627	42845	25379
628	42920	25315
629	43001	25254
630	43078	25191
631	43163	25133
632	43232	25065
633	43308	25001
634	43411	24952
635	43482	24886
636	43607	24850
637	43679	24783
638	43754	24718
639	43834	24657
640	43909	24591
641	43984	24527
642	44062	24464
643	44143	24402
644	44218	24337
645	44293	24272
646	44367	24206
647	44442	24141
648	44519	24077
649	44593	24011
650	44671	23948
651	44747	23883
652	44829	23822
653	44903	23756
654	44971	23687
655	45045	23621
656	45121	23556
657	45195	23490
658	45274	23427
659	45349	23362
660	45420	23294
661	45500	23231
662	45575	23166
663	45654	23102
664	45734	23039
665	45816	22977
666	45895	22913
667	45971	22847
668	46047	22782
669	46127	22719
670	46200	22652
671	46282	22590
672	46363	22527
673	46436	22460
674	46509	22393
675	46584	22327
676	46661	22262
677	46740	22198
678	46820	22134
679	46896	22069
680	46970	22002
681	47047	21937
682	47121	21870
683	47201	21806
684	47282	21742
685	47363	21679
686	47436	21612
687	47514	21547
688	47587	21480
689	47665	21414
690	47747	21351
691	47838	21292
692	47930	21233
693	48009	21168
694	48085	21102
695	48162	21036
696	48240	20971
697	48319	20906
698	48399	20841
699	48477	20776
700	48555	20710
701	48630	20643
702	48705	20577
703	48775	20507
704	48853	20442
705	48929	20375
706	49010	20311
707	49088	20245
708	49158	20176
709	49233	20109
710	49309	20042
711	49392	19978
712	49472	19913
713	49549	19847
714	49635	19784
715	49709	19717
716	49787	19651
717	49864	19584
718	49944	19519
719	50023	19453
720	50108	19389
721	50185	19323
722	50265	19258
723	50343	19191
724	50418	19124
725	50497	19058
726	50579	18993
727	50656	18926
728	50731	18858
729	50809	18792
730	50887	18726
731	50963	18658
732	51045	18593
733	51124	18527
734	51206	18462
735	51283	18395
736	51358	18327
737	51432	18259
738	51512	18193
739	51586	18124
740	51666	18058
741	51740	17990
742	51820	17924
743	51899	17857
744	51981	17792
745	52056	17724
746	52131	17656
747	52212	17590
748	52295	17524
749	52370	17456
750	52451	17390
751	52529	17323
752	52610	17257
753	52687	17189
754	52766	17122
755	52845	17055
756	52920	16987
757	52999	16920
758	53075	16852
759	53153	16785
760	53222	16715
761	53301	16647
762	53379	16580
763	53461	16514
764	53543	16448
765	53623	16381
766	53700	16313
767	53778	16245
768	53860	16179
769	53940	16111
770	54016	16043
771	54099	15977
772	54180	15910
773	54260	15843
774	54333	15774
775	54405	15704
776	54483	15636
777	54567	15570
778	54646	15502
779	54726	15435
780	54804	15367
781	54884	15300
782	54962	15232
783	55037	15163
784	55117	15095
785	55198	15028
786	55280	14961
787	55358	14893
788	55435	14824
789	55515	14757
790	55602	14691
791	55679	14622
792	55761	14555
793	55853	14491
794	55944	14425
795	56021	14357
796	56093	14287
797	56174	14219
798	56256	14152
799	56338	14084
800	56416	14016
801	56496	13947
802	56576	13879
803	56660	13812
804	56738	13744
805	56822	13676
806	56896	13607
807	56968	13536
808	57047	13468
809	57124	13399
810	57200	13330
811	57278	13261
812	57351	13191
813	57428	13122
814	57508	13054
815	57588	12985
816	57669	12917
817	57748	12848
818	57823	12779
819	57905	12710
820	57986	12642
821	58071	12575
822	58158	12507
823	58241	12439
824	58316	12370
825	58392	12300
826	58469	12231
827	58550	12162
828	58634	12094
829	58714	12025
830	58797	11957
831	58879	11889
832	58956	11819
833	59036	11750
834	59113	11681
835	59195	11612
836	59273	11543
837	59351	11473
838	59431	11404
839	59511	11335
840	59584	11265
841	59667	11196
842	59744	11126
843	59818	11056
844	59893	10986
845	59973	10917
846	60046	10846
847	60124	10777
848	60205	10707
849	60274	10636
850	60355	10567
851	60429	10497
852	60505	10427
853	60580	10356
854	60653	10286
855	60762	10221
856	60833	10150
857	60913	10081
858	60992	10011
859	61071	9941
860	61151	9872
861	61228	9802
862	61310	9732
863	61376	9661
864	61459	9591
865	61529	9520
866	61603	9450
867	61677	9379
868	61759	9310
869	61841	9240
870	61915	9170
871	61992	9099
872	62077	9030
873	62157	8960
874	62236	8890
875	62315	8820
876	62394	8750
877	62468	8680
878	62545	8609
879	62630	8540
880	62711	8470
881	62797	8401
882	62870	8330
883	62946	8260
884	63029	8190
885	63115	8121
886	63188	8049
887	63270	7980
888	63349	7909
889	63430	7839
890	63511	7769
891	63591	7699
892	63669	7628
893	63749	7558
894	63829	7488
895	63905	7417
896	63979	7346
897	64047	7274
898	64124	7204
899	64198	7133
900	64286	7063
901	64365	6993
902	64446	6922
903	64527	6852
